en_lemma	final_eo_root	final_eo_word	old_gloss	anchor_source	reason	_verdict	_analysis	decision	corrected_eo_word	_verdict	_analysis
perch#roost	sidstang	sidstango	bass, perch (fish)	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	sid+stang	ok		WELL_FORMED	sid+stang
hungrily	malsat	malsate		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
mesmerize	hipnot	hipnoti		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
pepperoni	peperon	peperono		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	pep+er+on	ok		WELL_FORMED	pep+er+on
squishy	mol	premmola		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	prem+mol	ok		WELL_FORMED	prem+mol
sunscreen	krem	sunkremo	sunscreen	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	sun+krem	ok		WELL_FORMED	sun+krem
bluebird	bird	blubirdo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	blu+bird	ok		WELL_FORMED	blu+bird
energize	energi	energiigi		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	en+erg+i+ig	ok		WELL_FORMED	en+erg+i+ig
glittery	bril	brileta		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
heartbroken	ŝir	korŝirita		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	korŝir+it	ok		WELL_FORMED	korŝir+it
honeybee	abel	mielabelo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	miel+abel	ok		WELL_FORMED	miel+abel
lunchtime	temp	lunĉtempo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	lun+ĉ+temp	ok		WELL_FORMED	lun+ĉ+temp
moonwalk	marŝ	lunmarŝo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	lun+marŝ	ok		WELL_FORMED	lun+marŝ
padlock	kadenac	kadenaco	padlock	curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	k+aden+a+c	ok		WELL_FORMED	k+aden+a+c
playhouse	dom	luddomo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	lud+dom	ok		WELL_FORMED	lud+dom
shyly	hont	hontete		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	hont+et	ok		WELL_FORMED	hont+et
smoothie	trink	fruktotrinkaĵo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	fru+k+t+o+trink+aĵ	ok		WELL_FORMED	fru+k+t+o+trink+aĵ
storybook	libr	rakontlibro		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	rakont+libr	ok		WELL_FORMED	rakont+libr
tantrum	kriz	kolerkrizo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	koler+kriz	ok		WELL_FORMED	koler+kriz
tickly	tikl	tiklema		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	tikl+em	ok		WELL_FORMED	tikl+em
beady	bid	bidsimila		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	bid+si+m+il	ok		WELL_FORMED	bid+si+m+il
birdseed	gren	birdogreno		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	bird+ogr+en	ok		WELL_FORMED	bird+ogr+en
blob	glob	globaĵo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	glob+aĵ	ok		WELL_FORMED	glob+aĵ
doorbell	sonoril	pordsonorilo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	pord+sonor+il	ok		WELL_FORMED	pord+sonor+il
flurry	turb	neĝoturbo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	ne+ĝ+o+turb	ok		WELL_FORMED	ne+ĝ+o+turb
footstep	paŝ	piedpaŝo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	pied+paŝ	ok		WELL_FORMED	pied+paŝ
jellybean	bombon	ĝelebombono		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	ĝel+eb+om+b+on	ok		WELL_FORMED	ĝel+eb+om+b+on
nightlight	lamp	noktolampo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	nokt+ol+am+p	ok		WELL_FORMED	nokt+ol+am+p
nightstand	tabl	noktotableto		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	noktotabl+et	ok		WELL_FORMED	noktotabl+et
oily	ole	olea		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
piggybank	pork	ŝparporketo		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	ŝpar+pork+et	ok		WELL_FORMED	ŝpar+pork+et
popsicle	baston	glacibastoneto		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	glaci+bast+on+et	ok		WELL_FORMED	glaci+bast+on+et
restful	ripoz	ripoziga		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
spook	tim	ektimigi		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	ek+timig	ok		WELL_FORMED	ek+timig
sugary	suker	sukera	bland, sugary	curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
swat	frap	klakfrapi		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	klak+frap	ok		WELL_FORMED	klak+frap
teamwork	labor	teamlaboro		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	team+labor	ok		WELL_FORMED	team+labor
trudge	paŝ	trenpaŝi		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	tren+paŝ	ok		WELL_FORMED	tren+paŝ
twinkly	bril	brileta		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
awestruck	frap	mirfrapita		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	mir+frap+it	ok		WELL_FORMED	mir+frap+it
bob	balanc	balanceti		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	balanc+et	ok		WELL_FORMED	balanc+et
brainstorm	um	cerbumado		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	cerbum+ad	ok		WELL_FORMED	cerbum+ad
busily	okup	okupite		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
cartwheel	rad	flankrado		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	flank+r+ad	ok		WELL_FORMED	flank+r+ad
cheery	gaj	gajeta		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	gaj+et	ok		WELL_FORMED	gaj+et
chomp	maĉ	maĉegi		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	maĉ+eg	ok		WELL_FORMED	maĉ+eg
classwork	labor	klaslaboro		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	klas+labor	ok		WELL_FORMED	klas+labor
contentedly	kontent	kontente		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
cooktop	plat	kuirplato		curated	final_eo_word not found in ESPDIC — verify anchor	WELL_FORMED	kuir+pl+at	ok		WELL_FORMED	kuir+pl+at
crawly	ramp	rampa		curated	final_eo_word not found in ESPDIC — verify anchor	ATTESTED	direct ESPDIC entry / known root	ok		ATTESTED	direct ESPDIC entry / known root
