token	frequency	bucket	is_propn	caps_majority	lemma
lily	4354	proper_noun	1	1	lily
timmy	1829	proper_noun	1	1	timmy
ben	1631	proper_noun	1	1	ben
tom	1600	proper_noun	1	1	tom
mommy	1441	proper_noun	1	0	mommy
tim	1201	proper_noun	1	1	tim
jack	1086	proper_noun	1	1	jack
sam	766	proper_noun	1	1	sam
max	753	proper_noun	1	1	max
john	717	proper_noun	1	1	john
lucy	672	proper_noun	1	1	lucy
hugged	655	common_gap	0	0	hug
anna	648	proper_noun	1	1	anna
mum	633	proper_noun	1	0	mum
bob	533	proper_noun	1	1	bob
jane	500	proper_noun	1	1	jane
sara	441	proper_noun	1	1	sara
mia	435	proper_noun	1	1	mia
rabbit	426	proper_noun	1	0	rabbit
nodded	404	common_gap	0	0	nod
joe	397	proper_noun	1	1	joe
curious	388	proper_noun	1	0	curious
molly	385	proper_noun	1	1	molly
hug	384	proper_noun	1	0	hug
daisy	382	proper_noun	1	1	daisy
sue	370	proper_noun	1	1	sue
sarah	361	proper_noun	1	1	sarah
okay	343	proper_noun	1	0	okay
hopped	339	common_gap	0	0	hop
daddy	338	proper_noun	1	1	daddy
sally	314	proper_noun	1	1	sally
tommy	289	proper_noun	1	1	tommy
bunny	263	proper_noun	1	0	bunny
mama	263	proper_noun	1	1	mama
jill	257	proper_noun	1	1	jill
butterfly	253	common_gap	0	0	butterfly
doll	249	common_gap	0	0	doll
grandma	249	proper_noun	1	0	grandma
yummy	243	proper_noun	1	0	yummy
pond	242	common_gap	0	0	pond
mummy	236	proper_noun	1	1	mummy
amy	235	proper_noun	1	1	amy
lila	225	proper_noun	1	1	lila
puppy	224	proper_noun	1	0	puppy
billy	221	proper_noun	1	1	billy
jimmy	220	proper_noun	1	1	jimmy
fox	211	proper_noun	1	0	fox
bug	202	common_gap	0	0	bug
magical	202	common_gap	0	0	magical
mary	197	proper_noun	1	1	mary
benny	193	proper_noun	1	1	benny
squirrel	191	proper_noun	1	0	squirrel
fluffy	174	proper_noun	1	1	fluffy
emma	165	proper_noun	1	1	emma
swing	163	common_gap	0	0	swing
cheered	158	common_gap	0	0	cheer
clapped	156	common_gap	0	0	clap
owl	156	proper_noun	1	0	owl
balloon	150	common_gap	0	0	balloon
colorful	146	proper_noun	1	0	colorful
teddy	146	proper_noun	1	0	teddy
kitty	144	proper_noun	1	1	kitty
nearby	143	common_gap	0	0	nearby
castle	142	proper_noun	1	0	castle
relieved	141	common_gap	0	0	relieve
sunny	138	proper_noun	1	0	sunny
